function_id,x,h_1e-03,h_1e-04,h_1e-05,h_1e-06,h_1e-07,h_1e-08,h_1e-09,h_1e-10
1 exp_BI,1.0000000000e-02,2.5288606000e-03,2.5273454000e-03,2.5271939000e-03,2.5271786000e-03,2.5271762000e-03,2.5271678000e-03,2.5271709000e-03,2.5262828000e-03
2 bJ_sin,1.0000000000e-02,1.0000240629e+00,1.0000211472e+00,1.0000208702e+00,1.0000208348e+00,1.0000204565e+00,1.0000183536e+00,1.0000459000e+00,9.9977954120e-01
3 di_tan,1.0000000000e-02,1.1500926000e-02,1.1501738000e-02,1.1501820900e-02,1.1501814000e-02,1.1502031300e-02,1.1504147200e-02,1.1512196900e-02,1.1459299000e-02
4 log_erf,1.0000000000e-02,1.0589835400e-02,1.0587248100e-02,1.0586989400e-02,1.0586963500e-02,1.0586960300e-02,1.0586957800e-02,1.0586811200e-02,1.0586906600e-02
5 acos_fd,1.0000000000e-02,4.5316510000e-04,4.5426610000e-04,4.5437620000e-04,4.5438740000e-04,4.5438960000e-04,4.5439720000e-04,4.5455970000e-04,4.5608810000e-04
6 ei,1.0000000000e-02,9.8981550000e-03,9.9066983000e-03,9.9075533000e-03,9.9076391000e-03,9.9076481000e-03,9.9076553000e-03,9.9076106000e-03,9.9093909000e-03
7 Q1_W,1.0000000000e-02,1.9679033200e-02,1.9675820300e-02,1.9675499800e-02,1.9675470200e-02,1.9675501500e-02,1.9675620800e-02,1.9675413400e-02,1.9719944900e-02
8 bj_tan,1.0000000000e-02,8.0503300000e-05,7.7053200000e-05,7.6709800000e-05,7.6702400000e-05,7.6496400000e-05,7.7488200000e-05,5.6603600000e-05,3.2295410000e-04
9 Si_tan,1.0000000000e-02,7.1104000000e-05,6.8055600000e-05,6.7748900000e-05,6.7674300000e-05,6.7169200000e-05,6.2501200000e-05,4.2901400000e-05,2.6906140000e-04
10 by_psi,1.0000000000e-02,8.9435930000e-03,8.9531654000e-03,8.9541256000e-03,8.9542116000e-03,8.9544198000e-03,8.9534483000e-03,8.9659395000e-03,8.8826645000e-03
11 fdm_log,1.0000000000e-02,4.9403799000e-03,4.9418726000e-03,4.9420219000e-03,4.9420368000e-03,4.9420381000e-03,4.9420801000e-03,4.9421696000e-03,4.9448276000e-03
12 eQ_sqrt,1.0000000000e-02,9.7555240000e-04,9.7505500000e-04,9.7500530000e-04,9.7500030000e-04,9.7499810000e-04,9.7498290000e-04,9.7491540000e-04,9.7371500000e-04
13 W_var,2.7282818285e+00,2.4994251310e-01,2.4999405960e-01,2.4999921400e-01,2.4999965900e-01,2.4999872340e-01,2.4999766230e-01,2.5001418550e-01,2.4919135950e-01
14 W_log,2.7282818285e+00,2.4983560640e-01,2.4989169560e-01,2.4989731520e-01,2.4989802540e-01,2.4989817910e-01,2.4988945670e-01,2.4990059850e-01,2.4979009000e-01
15 pow_df,1.0000000000e-02,5.0673458000e-03,5.0656173000e-03,5.0654439000e-03,5.0654267000e-03,5.0654245000e-03,5.0654173000e-03,5.0654161000e-03,5.0651879000e-03
16 chi_ci,1.0000000000e-02,0.0000000000e+00,7.0000000000e-10,1.2100000000e-08,1.8090000000e-07,9.5270000000e-07,8.3470000000e-07,6.6600000000e-08,1.7779110000e-04
17 fc_bj,1.0000000000e-02,1.0000947402e+00,1.0000832604e+00,1.0000821562e+00,1.0000820738e+00,1.0000819886e+00,1.0000819886e+00,1.0001473558e+00,1.0001189353e+00
s1 cos_x2,1.0000000000e-02,1.7500000000e-05,1.6750000000e-05,1.6675000000e-05,1.6661500000e-05,1.6704400000e-05,1.7474800000e-05,2.7677000000e-05,2.7589300000e-05
s2 exp_2,1.0000000000e-02,1.0000192500e+00,1.0000169176e+00,1.0000166916e+00,1.0000166785e+00,1.0000167971e+00,1.0000169156e+00,1.0000167050e+00,1.0001611264e+00
s3 cos_sin,1.0000000000e-02,1.0000192503e+00,1.0000169177e+00,1.0000166919e+00,1.0000166754e+00,1.0000166295e+00,1.0000158589e+00,1.0000056566e+00,1.0000057485e+00
s4 sin_sin,1.5807963268e+00,1.5806563673e+02,1.5806630362e+02,1.5806560163e+02,1.5805331678e+02,1.5794801811e+02,1.5794801811e+02,1.5794801811e+02,1.7549779790e+02
s5 tan_tan,1.0000000000e-02,2.1001990000e-04,2.0101700000e-04,2.0011680000e-04,2.0002830000e-04,1.9999360000e-04,2.0120780000e-04,1.9080050000e-04,1.7345500000e-04
s6 cos_cos,1.0000000000e-02,9.9991146270e-01,9.9991568140e-01,9.9991124060e-01,9.9983352760e-01,9.9916741600e-01,9.9916741600e-01,9.9916741600e-01,1.1101860178e+00
s7 exp_exp,1.0000000000e-02,1.0000384998e+00,1.0000338348e+00,1.0000333831e+00,1.0000333382e+00,1.0000333344e+00,1.0000333366e+00,1.0000334310e+00,1.0000344857e+00
s8 exp_1,1.0000000000e-02,1.0055110050e+00,1.0050585854e+00,1.0050133584e+00,1.0050088359e+00,1.0050083850e+00,1.0050083430e+00,1.0050084314e+00,1.0050101989e+00
s9 x_tan,1.0000000000e-02,1.0000154002e+00,1.0000135334e+00,1.0000133509e+00,1.0000133253e+00,1.0000130269e+00,1.0000083373e+00,9.9998275800e-01,9.9972696430e-01
s10 log_log,1.0000000000e-02,1.0005830100e-02,1.0001257700e-02,1.0000800800e-02,1.0000755300e-02,1.0000749500e-02,1.0000750100e-02,1.0000640400e-02,1.0000741500e-02
s11 log_x,1.0000000000e-02,1.0000770076e+00,1.0000676759e+00,1.0000667725e+00,1.0000666824e+00,1.0000666733e+00,1.0000666660e+00,1.0000666913e+00,1.0000670295e+00
s12 sqrt_exp,1.0000000000e-02,2.5134407000e-03,2.5125940000e-03,2.5125093000e-03,2.5125008000e-03,2.5124994000e-03,2.5125009000e-03,2.5124658000e-03,2.5117485000e-03
s13 sin_tan,1.0000000000e-02,9.4503400000e-05,9.0453500000e-05,9.0046800000e-05,8.9979900000e-05,9.0328600000e-05,8.8771100000e-05,7.3158100000e-05,3.8540910000e-04
s14 exp_x,1.0000000000e-02,5.0100046000e-03,5.0085004000e-03,5.0083500000e-03,5.0083351000e-03,5.0083349000e-03,5.0083381000e-03,5.0084322000e-03,5.0101930000e-03
