function_id,repeat_count,stable_origin_abs,stable_autornp_abs,stable_origin_rel,stable_autornp_rel,decayed_origin_abs,decayed_autornp_abs,decayed_origin_rel,decayed_autornp_rel
"1 exp_BI",10,2.347685e-10,1.285647e-03,4.695369e-10,2.564842e-03,5.000000e-01,1.264675e-03,1.000000e+00,2.523138e-03
"2 bJ_sin",10,-,-,-,-,-,-,-,-
"3 di_tan",10,3.003795e-10,8.080602e-11,1.201518e-09,3.232248e-10,7.500000e-01,2.500000e-01,3.000000e+00,1.000000e+00
"4 log_erf",10,7.850797e-11,1.203210e-02,6.957582e-11,1.055064e-02,1.128379e+00,1.178756e-02,1.000000e+00,1.033839e-02
"5 acos_fd",10,2.896955e-09,2.896232e-09,5.548623e-10,5.547238e-10,5.221034e+00,5.221034e+00,1.000000e+00,1.000000e+00
"6 ei",10,1.388954e-10,1.382853e-10,1.567267e-10,1.560382e-10,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00
"7 Q1_W",10,2.401931e-05,1.383086e+04,2.401931e-05,1.361814e+04,1.000000e+00,6.120014e+03,1.000000e+00,6.025971e+03
"8 bj_tan",10,7.872025e-04,2.648275e-03,4.723215e-03,1.589026e-02,1.666667e-01,2.377020e-03,1.000000e+00,1.426264e-02
"9 Si_tan",10,8.785231e-03,4.759983e-04,2.259059e-02,1.223954e-03,3.888889e-01,4.664303e-04,1.000000e+00,1.199353e-03
"10 by_psi",10,8.670907e-05,2.534639e-02,3.278307e-05,9.669817e-03,2.296959e+24,2.502740e-02,8.684372e+23,9.547075e-03
"11 fdm_log",10,6.567451e-11,5.572594e-11,1.313490e-10,1.114518e-10,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00
"12 eQ_sqrt",10,8.199939e-11,1.284364e-03,6.317926e-11,9.905419e-04,1.083593e+04,1.266322e-03,8.348920e+03,9.766097e-04
"13 W_var",10,2.048746e-10,1.311218e-13,4.097493e-10,2.622306e-13,1.000000e+00,1.324869e-13,1.000000e+00,2.649608e-13
"14 W_log",10,1.021289e-10,8.350982e-14,3.063868e-10,2.505846e-13,1.000000e+00,7.342820e-14,1.000000e+00,2.203039e-13
"15 pow_df",10,1.569551e-10,1.394053e-02,5.774056e-11,5.154296e-03,4.485137e+00,1.371093e-02,1.649990e+00,5.068845e-03
"16 chi_ci",10,5.379659e-02,2.000920e-03,1.075932e-01,4.001840e-03,5.000000e-01,1.962134e-03,1.000000e+00,3.924269e-03
"17 fc_bj",10,-,-,-,-,-,-,-,-
"s1 cos_x2",10,8.828719e-04,3.432534e-03,1.765744e-03,6.865126e-03,5.000000e-01,3.373894e-03,1.000000e+00,6.747842e-03
"s2 exp_2",10,-,-,-,-,-,-,-,-
"s3 cos_sin",10,-,-,-,-,-,-,-,-
"s4 sin_sin",10,1.094019e-16,1.094019e-16,1.321091e-04,1.022603e-07,1.093115e-16,1.050744e-16,1.966631e-02,9.287256e-08
"s5 tan_tan",10,2.396414e-18,2.396414e-18,2.396239e-12,2.396239e-12,2.119992e-18,2.119992e-18,2.119833e-12,2.119833e-12
"s6 cos_cos",10,1.098122e-16,1.021842e-08,6.782398e-05,2.842260e+03,1.080908e-16,1.008889e-08,3.215403e-02,1.267368e+06
"s7 exp_exp",10,-,-,-,-,-,-,-,-
"s8 exp_1",10,-,-,-,-,-,-,-,-
"s9 x_tan",10,-,-,-,-,-,-,-,-
"s10 log_log",10,-,-,-,-,-,-,-,-
"s11 log_x",10,-,-,-,-,-,-,-,-
"s12 sqrt_exp",10,-,-,-,-,-,-,-,-
"s13 sin_tan",10,-,-,-,-,-,-,-,-
"s14 exp_x",10,-,-,-,-,-,-,-,-
"s15 x_x2",10,3.336307e-11,1.769446e-14,6.672614e-11,3.537554e-14,1.000000e+00,4.994078e-01,1.000000e+00,9.988155e-01
"c1 sci3545_2",10,1.792551e-03,1.792551e-03,2.239958e-04,2.239958e-04,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00
"c2 sci4034_1",10,5.549236e-17,5.549041e-17,7.491229e-02,7.491229e-02,5.548373e-17,5.548373e-17,1.000000e+00,1.000000e+00
"c3 sci4034_2",10,-,-,-,-,-,-,-,-
"c4 sci3547",10,9.245426e-04,9.245426e-04,1.663825e-04,1.663825e-04,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00
"c5 sci3545_1",10,-,-,-,-,-,-,-,-
"case sympy/sympy#28514",10,-,-,-,-,-,-,-,-
"case sympy/sympy#12671",10,1.000000e+00,5.495604e-14,1.000000e+00,5.499471e-17,1.000000e+00,5.495604e-14,1.000000e+00,5.499470e-17
"case statsmodels/statsmodels#1604",10,-,-,-,-,-,-,-,-
"case statsmodels/statsmodels#826",10,-,-,-,-,-,-,-,-
"case scipy/scipy#17194",10,1.111592e-16,1.110321e-16,6.978089e-11,6.978089e-11,1.110007e-16,1.109795e-16,1.000000e+00,1.000000e+00
"case pytorch/pytorch#39242",10,-,-,-,-,-,-,-,-
