function_id,repeat_count,stable_origin_abs,stable_herbie_abs,stable_origin_rel,stable_herbie_rel,decayed_origin_abs,decayed_herbie_abs,decayed_origin_rel,decayed_herbie_rel
"1 exp_BI",10,-,-,-,-,-,-,-,-
"2 bJ_sin",10,-,-,-,-,-,-,-,-
"3 di_tan",10,-,-,-,-,-,-,-,-
"4 log_erf",10,-,-,-,-,-,-,-,-
"5 acos_fd",10,-,-,-,-,-,-,-,-
"6 ei",10,-,-,-,-,-,-,-,-
"7 Q1_W",10,-,-,-,-,-,-,-,-
"8 bj_tan",10,-,-,-,-,-,-,-,-
"9 Si_tan",10,-,-,-,-,-,-,-,-
"10 by_psi",10,-,-,-,-,-,-,-,-
"11 fdm_log",10,-,-,-,-,-,-,-,-
"12 eQ_sqrt",10,-,-,-,-,-,-,-,-
"13 W_var",10,-,-,-,-,-,-,-,-
"14 W_log",10,-,-,-,-,-,-,-,-
"15 pow_df",10,-,-,-,-,-,-,-,-
"16 chi_ci",10,-,-,-,-,-,-,-,-
"17 fc_bj",10,-,-,-,-,-,-,-,-
"s1 cos_x2",10,6.830596e-05,5.102599e-17,1.366119e-04,1.020528e-16,5.000000e-01,4.210854e-17,1.000000e+00,8.421773e-17
"s2 exp_2",10,3.750004e-10,1.306118e-18,3.661023e-03,1.320668e-16,1.992360e+00,1.073394e-18,3.514823e+16,1.165348e-16
"s3 cos_sin",10,3.809680e-11,4.906917e-18,2.461477e-04,9.847052e-16,5.198538e-09,4.286567e-18,1.000000e+00,8.658934e-16
"s4 sin_sin",10,1.099600e-16,3.340428e-24,2.262004e-05,4.029761e-16,1.085904e-16,2.384463e-24,2.617116e-02,2.743136e-14
"s5 tan_tan",10,2.400333e-18,2.081968e-11,2.400141e-12,2.081760e-05,2.066005e-18,2.039422e-11,2.065849e-12,2.039220e-05
"s6 cos_cos",10,1.095375e-16,3.216861e-24,1.205762e-04,4.184954e-16,1.083699e-16,2.760364e-24,2.924486e-02,3.875847e-14
"s7 exp_exp",10,1.650127e-16,1.665236e-12,1.662858e-10,8.327475e-11,1.629354e-16,1.601981e-12,1.000000e+00,8.072421e-11
"s8 exp_1",10,1.111552e-16,8.332114e-13,1.396377e-10,8.346686e-11,1.109929e-16,7.842573e-13,1.000000e+00,7.964190e-11
"s9 x_tan",10,3.653145e-11,6.343963e-14,5.196667e-05,1.903497e-11,1.032869e-08,6.076641e-14,2.259325e+00,1.838524e-11
"s10 log_log",10,4.397802e-10,1.344354e-11,4.397801e-10,1.331839e-11,1.000000e+00,1.261915e-11,1.000000e+00,1.257101e-11
"s11 log_x",10,2.183497e-16,3.996276e-11,3.290081e-11,1.998472e-09,2.215627e-16,3.870559e-11,1.000000e+00,1.947948e-09
"s12 sqrt_exp",10,1.098170e-10,2.242905e-16,7.765236e-11,1.584097e-16,1.000000e+00,2.234225e-16,1.000000e+00,1.579220e-16
"s13 sin_tan",10,1.759412e-03,9.635870e-11,3.518825e-03,1.927261e-10,1.000000e+00,9.331498e-11,1.000000e+00,1.866382e-10
"s14 exp_x",10,6.835582e-11,8.334359e-11,6.835580e-11,8.351262e-11,1.000000e+00,8.156087e-11,1.000000e+00,8.148022e-11
"s15 x_x2",10,2.116275e-11,1.035431e-16,4.232551e-11,2.064491e-16,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00
"c1 sci3545_2",10,-,-,-,-,-,-,-,-
"c2 sci4034_1",10,5.550207e-17,2.081303e-14,5.891072e-04,4.164045e-10,5.546930e-17,1.909573e-14,1.000000e+00,3.930299e-10
"c3 sci4034_2",10,2.242592e-14,2.004057e-17,2.231917e-11,1.565696e-16,1.047222e-08,1.703335e-17,1.000000e+00,1.515957e-16
"c4 sci3547",10,-,-,-,-,-,-,-,-
"c5 sci3545_1",10,-,-,-,-,-,-,-,-
"case sympy/sympy#28514",10,2.545582e-16,1.982060e-11,3.597968e-10,1.992237e-09,2.392779e-16,1.445187e-10,3.375454e-12,9.777847e-09
"case sympy/sympy#12671",10,1.000000e+00,9.644495e+02,1.000000e+00,9.651088e-01,1.000000e+00,9.644494e+02,1.000000e+00,9.651088e-01
"case statsmodels/statsmodels#1604",10,1.000000e+00,5.000000e-01,1.000000e+00,5.000000e-01,1.000000e+00,5.000000e-01,1.000000e+00,5.000000e-01
"case statsmodels/statsmodels#826",10,9.284726e-11,8.776258e-10,6.007777e-12,1.907755e-10,1.000000e+00,8.396712e-10,1.000000e+00,1.820907e-10
"case scipy/scipy#17194",10,1.111606e-16,8.327090e-13,2.477965e-11,8.346459e-11,1.110128e-16,7.768778e-13,1.000000e+00,7.885598e-11
"case pytorch/pytorch#39242",10,7.919650e-11,9.468826e-16,5.347382e-12,1.145366e-16,1.000000e+00,3.593532e-15,1.000000e+00,1.126683e-16
