function_id,expansion_degree,repeat_count,stable_ofp_repair_abs,stable_ofp_repair_rel,decayed_ofp_repair_abs,decayed_ofp_repair_rel
"1 exp_BI",1,10,8.362847e-06,1.668372e-05,8.166432e-06,1.634235e-05
"2 bJ_sin",1,10,2.603348e-08,1.041441e-05,2.538625e-08,1.024084e-05
"3 di_tan",1,10,2.265160e-06,9.090034e-06,2.239208e-06,8.970993e-06
"4 log_erf",1,10,3.270734e-05,2.925132e-05,3.206040e-05,2.852420e-05
"5 acos_fd",1,10,6.515631e-05,1.247345e-05,6.383323e-05,1.222489e-05
"6 ei",1,10,8.607190e-05,9.650952e-05,8.502212e-05,9.555083e-05
"7 Q1_W",1,10,3.430529e-05,3.363173e-05,3.332765e-05,3.295770e-05
"8 bj_tan",1,10,6.387514e-06,3.832655e-05,6.272688e-06,3.763755e-05
"9 Si_tan",1,10,1.316257e-05,3.384548e-05,1.295382e-05,3.330872e-05
"10 by_psi",1,10,2.952741e-04,1.106203e-04,2.872563e-04,1.081312e-04
"11 fdm_log",1,10,8.330578e-06,1.673160e-05,8.272668e-06,1.655497e-05
"12 eQ_sqrt",1,10,7.079128e-06,5.459644e-06,6.973092e-06,5.376794e-06
"13 W_var",1,10,1.059531e-06,2.117110e-06,1.036707e-06,2.074938e-06
"14 W_log",1,10,7.693109e-07,2.305807e-06,7.565317e-07,2.269582e-06
"15 pow_df",1,10,5.813069e-05,2.127918e-05,5.672986e-05,2.078760e-05
"16 chi_ci",1,10,4.626987e-12,9.253975e-12,4.476017e-12,8.952034e-12
"17 fc_bj",1,10,2.049297e-07,4.099384e-05,1.968851e-07,3.990465e-05
"s1 cos_x2",1,10,4.165001e-06,8.330071e-06,4.087363e-06,8.174792e-06
"s2 exp_2",1,10,8.329307e-08,8.330589e-06,8.038815e-08,8.135292e-06
"s3 cos_sin",1,10,4.164553e-08,8.330474e-06,3.983846e-08,8.085593e-06
"s4 sin_sin",1,10,5.000000e-13,6.348071e-01,5.000000e-13,2.697847e+03
"s5 tan_tan",1,10,9.999861e-15,9.998861e-09,9.886684e-15,9.885717e-09
"s6 cos_cos",1,10,5.000000e-13,3.610350e+00,5.000000e-13,4.490396e+02
"s7 exp_exp",1,10,3.330650e-07,1.665747e-05,3.212081e-07,1.625845e-05
"s8 exp_1",1,10,5.012777e-05,5.006759e-03,4.913642e-05,4.954677e-03
"s9 x_tan",1,10,2.220805e-08,6.663808e-06,2.178928e-08,6.579561e-06
"s10 log_log",1,10,5.040080e-05,5.003692e-05,4.932960e-05,4.941643e-05
"s11 log_x",1,10,6.664101e-07,3.332433e-05,6.587235e-07,3.306702e-05
"s12 sqrt_exp",1,10,1.327625e-05,9.373036e-06,1.305643e-05,9.218068e-06
"s13 sin_tan",1,10,2.248919e-05,4.498041e-05,2.194434e-05,4.389060e-05
"s14 exp_x",1,10,1.669044e-05,1.669685e-05,1.643541e-05,1.645229e-05
"s15 x_x2",1,10,1.255072e-05,2.499045e-05,1.231585e-05,2.461519e-05
"c1 sci3545_2",1,10,4.205724e-01,6.503382e-02,4.205424e-01,6.502156e-02
"c2 sci4034_1",1,10,4.998477e-05,1.000000e+00,4.900857e-05,1.000000e+00
"c3 sci4034_2",1,10,2.367432e-06,1.670039e-05,2.346133e-06,1.657976e-05
"c4 sci3547",1,10,4.814374e-16,1.049062e-16,4.732384e-16,1.016807e-16
"c5 sci3545_1",1,10,4.363716e-27,2.886782e-04,2.691758e-27,2.327508e-04
"case sympy/sympy#28514",1,10,4.964970e-05,4.990729e-03,1.101135e-04,7.438253e-03
"case sympy/sympy#12671",1,10,5.495604e-14,5.499471e-17,5.495604e-14,5.499470e-17
"case statsmodels/statsmodels#1604",1,10,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
"case statsmodels/statsmodels#826",1,10,5.020073e-03,1.091243e-03,4.971059e-03,1.078291e-03
"case scipy/scipy#17194",1,10,5.012437e-05,5.006505e-03,4.914803e-05,4.964657e-03
"case pytorch/pytorch#39242",1,10,4.995359e-03,1.083531e-03,4.975130e-03,1.078202e-03
"1 exp_BI",2,10,3.393159e-08,6.769358e-08,3.334218e-08,6.670671e-08
"2 bJ_sin",2,10,2.602885e-08,1.041318e-05,2.558383e-08,1.029305e-05
"3 di_tan",2,10,8.968133e-09,3.557148e-08,8.695368e-09,3.478199e-08
"4 log_erf",2,10,2.640296e-08,2.364990e-08,2.554221e-08,2.280396e-08
"5 acos_fd",2,10,3.352847e-07,6.418655e-08,3.276680e-07,6.275842e-08
"6 ei",2,10,7.122218e-07,7.982478e-07,6.969328e-07,7.822163e-07
"7 Q1_W",2,10,1.004344e-06,1.024804e-06,9.752612e-07,9.784301e-07
"8 bj_tan",2,10,7.268341e-12,4.361171e-11,7.090646e-12,4.254549e-11
"9 Si_tan",2,10,5.395897e-10,1.387469e-09,5.167297e-10,1.328690e-09
"10 by_psi",2,10,4.196050e-06,1.571988e-06,4.035225e-06,1.524200e-06
"11 fdm_log",2,10,5.648510e-11,1.135397e-10,5.464364e-11,1.097273e-10
"12 eQ_sqrt",2,10,3.951374e-08,3.041560e-08,3.806856e-08,2.931998e-08
"13 W_var",2,10,2.792284e-09,5.580449e-09,2.752716e-09,5.505421e-09
"14 W_log",2,10,2.208677e-09,6.619930e-09,2.168894e-09,6.507824e-09
"15 pow_df",2,10,1.537982e-06,5.629901e-07,1.504447e-06,5.515173e-07
"16 chi_ci",2,10,4.625264e-12,9.250529e-12,4.420071e-12,8.840142e-12
"17 fc_bj",2,10,2.049489e-07,4.099640e-05,1.988808e-07,4.017974e-05
"s1 cos_x2",2,10,1.387554e-11,2.775131e-11,1.325407e-11,2.650835e-11
"s2 exp_2",2,10,8.325610e-08,8.328123e-06,8.184648e-08,8.233708e-06
"s3 cos_sin",2,10,4.164264e-08,8.330087e-06,4.068987e-08,8.202110e-06
"s4 sin_sin",2,10,1.666579e-21,1.965715e-13,1.650254e-21,1.316726e-11
"s5 tan_tan",2,10,3.339673e-19,3.339444e-13,3.338718e-19,3.338668e-13
"s6 cos_cos",2,10,1.666813e-21,2.270262e-13,1.652281e-21,6.471791e-11
"s7 exp_exp",2,10,3.332029e-07,1.666207e-05,3.239098e-07,1.634977e-05
"s8 exp_1",2,10,1.668302e-07,1.669813e-05,1.628683e-07,1.639869e-05
"s9 x_tan",2,10,2.221036e-08,6.664270e-06,2.163486e-08,6.548121e-06
"s10 log_log",2,10,4.192486e-07,4.176189e-07,4.120246e-07,4.103367e-07
"s11 log_x",2,10,6.664287e-07,3.332496e-05,6.392981e-07,3.241038e-05
"s12 sqrt_exp",2,10,2.578220e-08,1.824321e-08,2.527715e-08,1.788260e-08
"s13 sin_tan",2,10,9.634517e-11,1.926990e-10,9.363836e-11,1.872850e-10
"s14 exp_x",2,10,4.171435e-08,4.174816e-08,4.105398e-08,4.105952e-08
"s15 x_x2",2,10,6.274159e-08,1.249212e-07,6.127586e-08,1.221203e-07
"c1 sci3545_2",2,10,6.977866e-03,1.078998e-03,6.976838e-03,1.078760e-03
"c2 sci4034_1",2,10,1.249230e-09,2.499271e-05,1.200756e-09,2.450142e-05
"c3 sci4034_2",2,10,1.775491e-08,1.252523e-07,1.729946e-08,1.224889e-07
"c4 sci3547",2,10,4.894634e-16,1.064791e-16,4.804095e-16,1.039118e-16
"c5 sci3545_1",2,10,2.131149e-28,1.416244e-05,1.595392e-28,1.263511e-05
"case sympy/sympy#28514",2,10,3.306120e-07,3.323429e-05,1.085374e-06,7.348934e-05
"case sympy/sympy#12671",2,10,5.495604e-14,5.499471e-17,5.495604e-14,5.499469e-17
"case statsmodels/statsmodels#1604",2,10,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
"case statsmodels/statsmodels#826",2,10,3.340279e-05,7.260888e-06,3.298346e-05,7.159944e-06
"case scipy/scipy#17194",2,10,1.667682e-07,1.669496e-05,1.640467e-07,1.652351e-05
"case pytorch/pytorch#39242",2,10,1.670259e-05,3.622854e-06,1.645513e-05,3.563528e-06
"1 exp_BI",3,10,1.070926e-10,2.136477e-10,1.018790e-10,2.038832e-10
"2 bJ_sin",3,10,2.689839e-13,1.076017e-10,2.622967e-13,1.054534e-10
"3 di_tan",3,10,8.932901e-11,3.614280e-10,8.581793e-11,3.447532e-10
"4 log_erf",3,10,2.167111e-10,1.941145e-10,2.085630e-10,1.851421e-10
"5 acos_fd",3,10,2.339275e-09,4.478283e-10,2.280407e-09,4.368078e-10
"6 ei",3,10,6.017018e-09,6.749995e-09,5.866267e-09,6.607242e-09
"7 Q1_W",3,10,4.848937e-09,4.947696e-09,4.625306e-09,4.701856e-09
"8 bj_tan",3,10,7.270807e-12,4.362651e-11,6.985151e-12,4.191248e-11
"9 Si_tan",3,10,5.395410e-10,1.387344e-09,5.175868e-10,1.330893e-09
"10 by_psi",3,10,5.175267e-08,1.939486e-08,4.919416e-08,1.852545e-08
"11 fdm_log",3,10,5.647321e-11,1.135157e-10,5.461709e-11,1.095898e-10
